,Social Negative Count,WN-SNS,Municipality,County,MRI Score,Latitude,Longitude,Crime_Index
159,2,-17.71428571,lambertville city,Hunterdon,1.91,40.36769765,-74.94043561,241.406455
160,9,-12.5,lawrence township,Cumberland,-6.35,40.2774754,-74.7296047,383.837765
162,18,-13.57142857,lebanon borough,Hunterdon,2.27,40.6406353,-74.8356167,102.1416804
163,18,5.714285714,lebanon township,Hunterdon,2.74,40.729147,-74.897122,167.8474114
166,64,19.08396947,linwood city,Atlantic,1.95,39.3539719,-74.57438524,167.1064204
167,91,7.063197026,little egg harbor township,Ocean,-0.81,39.6452742,-74.366968,233.3191066
168,30,-0.165289256,little ferry borough,Bergen,-1.96,40.8502575,-74.0439861,185.4061496
169,4,-18.26086957,livingston township,Essex,5.73,41.205859,-74.43375412,201.5425889
170,0,-20,loch arbour village,Monmouth,5.54,40.2328413,-73.9966327,441.9889503
171,12,-12.88888889,logan township,Gloucester,1.82,39.7947842,-75.34883104,410.6776181
172,3,-16.06557377,long beach township,Ocean,3.54,39.6162477,-74.1997058,412.6774513
173,1,-15.78947368,long hill township,Morris,4.21,40.6883913,-74.4961781,107.138698
174,0,-20,longport borough,Atlantic,3.98,39.31197845,-74.52732273,114.5475372
175,9,-6.41509434,lopatcong township,Warren,0.36,40.7133388,-75.1601985,162.2137405
176,7,6.666666667,lower alloways creek township,Salem,-1.06,39.5005387,-75.4367007,95.46539379
177,10,-10.90909091,lower township,Cape May,-3.82,38.973965,-74.9249245,183.6517556
178,2,-13.33333333,lumberton township,Burlington,1.06,39.9659459,-74.8051628,362.3602383
179,18,-5.6,lyndhurst township,Bergen,-0.52,40.0245554,-74.3048078,160.8291637
180,10,-12,madison borough,Morris,4.32,40.75188245,-74.40104745,100.4295099
181,4,-14.92063492,manalapan township,Monmouth,3.91,40.2852895,-74.333495,115.0684932
182,6,-3.448275862,manasquan borough,Monmouth,4.79,40.1165842,-74.0534506,227.0032187
183,3,-1.538461538,manchester township,Ocean,-2.58,39.9734957,-74.3816966,119.2389203
185,23,-11.02439024,mansfield township,Warren,0.69,40.0912221,-74.7137709,150.4022385
186,23,-11.02439024,mansfield township,Burlington,2.83,40.0912221,-74.7137709,223.3885076
187,17,-2.105263158,mantoloking borough,Ocean,9.23,40.03723755,-74.05159604,883.5341365
188,13,-11.33333333,mantua township,Gloucester,1.17,39.7940026,-75.1721232,266.7208232
189,9,-13.20754717,maple shade township,Burlington,-1.72,39.9526127,-74.9923915,365.9705945
190,2,-17.33333333,maplewood township,Essex,3.91,40.25133215,-74.28878944,337.7308707
191,23,-4,margate city,Atlantic,2.14,39.327894,-74.5034858,476.426799
192,63,-6.524064171,marlboro township,Monmouth,4.85,40.3153877,-74.2462564,147.2556894
193,5,-10.24390244,matawan borough,Monmouth,1.38,40.4098052,-74.2319013,22.5631769
195,4,-14.75409836,maywood borough,Bergen,1.3,40.9043935,-74.06013019,147.4956468
196,3,-13.51351351,medford township,Burlington,4.86,39.9009472,-74.8234961,189.3199762
197,20,-4.31372549,mendham borough,Morris,6.16,40.7786615,-74.6020697,97.85932722
198,28,-13.56321839,mendham township,Morris,7.31,40.77872315,-74.56430241,41.68837936
199,2,-17.03703704,middle township,Cape May,-5.68,39.1190651,-74.8458744,486.436431
200,22,-10.32967033,middletown township,Monmouth,3.22,40.3942754,-74.117086,123.4171898
201,15,-11.17647059,millburn township,Essex,7.42,40.7244919,-74.30984582,372.345679
203,5,-13.22033898,millville city,Cumberland,-8.03,39.3209485,-74.7709978,966.6989977
204,7,-11.76470588,mine hill township,Morris,1.75,41.1178522,-74.5870801,90.54895303
205,0,-20,monroe township,Gloucester,-1.24,40.335756,-74.4334464,278.9193928
206,0,-20,monroe township,Middlesex,2.51,40.335756,-74.4334464,71.49593175
207,6,-8.571428571,montague township,Sussex,-0.21,41.3031498,-74.7934993,88.45417818
208,4,-15.73333333,montclair township,Essex,3.57,39.7631027,-74.1945872,277.6849305
209,20,3.880597015,montgomery township,Somerset,6.4,40.4564037,-74.6594773,88.45417818
210,8,-12.28915663,montville township,Morris,4.78,40.9148209,-74.383763,165.4514863
211,7,-14.86238532,moorestown township,Burlington,4.08,39.9670569,-74.9426677,257.4353974
212,18,-13.23943662,morris plains borough,Morris,3.18,40.83360565,-74.46687417,232.3470684
214,19,-10.78787879,morristown town,Morris,0.69,40.7970382,-74.4809868,246.0233298
215,24,-6.086956522,mount arlington borough,Morris,1.25,40.9309139,-74.63163507,87.92695299
216,22,-4,mount holly township,Burlington,-8.57,39.9928898,-74.7876624,558.0865604
217,2,-17.83783784,mount laurel township,Burlington,2.75,39.934002,-74.8909988,344.231185
218,14,-12,mount olive township,Morris,1.35,40.8519579,-74.7890673,57.25322481
219,3,-8.571428571,mullica township,Atlantic,-4.53,39.5777443,-74.7172708,256.4529559
220,30,-11.24087591,neptune township,Monmouth,-1.89,40.2239981,-74.0478216,643.3745207
221,6,-16.44444444,new brunswick city,Middlesex,-12.57,40.49389805,-74.44565055,538.0278205
223,199,-9.648894668,newark city,Essex,-13.33,40.7317764,-74.17360431,549.9932686
224,16,-10.07751938,newton town,Sussex,-4.14,41.0582503,-74.74973903,236.4519427
225,23,-7.894736842,north bergen township,Hudson,-5.62,40.286739,-74.411542,168.7616756
226,30,-5.185185185,north brunswick township,Middlesex,-0.73,40.44560135,-74.489296,348.773842
227,10,-2.78E-15,north caldwell borough,Essex,6.46,40.8611934,-74.2616477,41.69148303
228,14,-2.222222222,north haledon borough,Passaic,1.28,40.9537092,-74.1829225,82.65438659
229,12,1.333333333,north hanover township,Burlington,-1.28,40.08801,-74.58573128,74.48789572
230,14,-14.5631068,nutley township,Essex,1.55,41.1754411,-74.4458338,156.6652679
231,29,4.166666667,oakland borough,Bergen,3.93,41.02394245,-74.24563887,83.95664784
232,27,-6.987951807,ocean township,Ocean,0.91,40.2520408,-74.0461049,517.1485006
233,27,-6.987951807,ocean township,Monmouth,1.64,40.2520408,-74.0461049,309.8450775
234,11,-7.428571429,oceanport borough,Monmouth,2.43,40.31216815,-74.03582566,177.6384535
235,21,-6.115702479,old bridge township,Middlesex,0.43,40.414071,-74.3042101,156.2099486
237,6,-13.04347826,oxford township,Warren,1.08,40.8041113,-74.99966607,98.11937858
238,2,-16.09756098,palisades park borough,Bergen,-0.18,40.855041,-73.998342,140.7506702
